,Symbol,Code,Name,BeginDate,EndDate,Type,Exchange,MinTick,Multiplier,begindate,enddate
3072,S.CN.SZSE.002041,002041,登海种业,2005-04-18,2200-01-01,STOCK,,,,2005-04-18,2200-01-01
3073,S.CN.SZSE.002042,002042,华孚时尚,2005-04-27,2200-01-01,STOCK,,,,2005-04-27,2200-01-01
3074,S.CN.SZSE.002043,002043,兔宝宝,2005-05-10,2200-01-01,STOCK,,,,2005-05-10,2200-01-01
3075,S.CN.SZSE.002044,002044,美年健康,2005-05-18,2200-01-01,STOCK,,,,2005-05-18,2200-01-01
3076,S.CN.SZSE.002045,002045,国光电器,2005-05-23,2200-01-01,STOCK,,,,2005-05-23,2200-01-01
3077,S.CN.SZSE.002046,002046,国机精工,2005-05-26,2200-01-01,STOCK,,,,2005-05-26,2200-01-01
3078,S.CN.SZSE.002047,002047,宝鹰股份,2005-05-31,2200-01-01,STOCK,,,,2005-05-31,2200-01-01
3079,S.CN.SZSE.002048,002048,宁波华翔,2005-06-03,2200-01-01,STOCK,,,,2005-06-03,2200-01-01
3080,S.CN.SZSE.002049,002049,紫光国微,2005-06-06,2200-01-01,STOCK,,,,2005-06-06,2200-01-01
3081,S.CN.SZSE.002050,002050,三花智控,2005-06-07,2200-01-01,STOCK,,,,2005-06-07,2200-01-01
3082,S.CN.SZSE.002051,002051,中工国际,2006-06-19,2200-01-01,STOCK,,,,2006-06-19,2200-01-01
3084,S.CN.SZSE.002053,002053,云南能投,2006-06-27,2200-01-01,STOCK,,,,2006-06-27,2200-01-01
3085,S.CN.SZSE.002054,002054,德美化工,2006-07-25,2200-01-01,STOCK,,,,2006-07-25,2200-01-01
3086,S.CN.SZSE.002055,002055,得润电子,2006-07-25,2200-01-01,STOCK,,,,2006-07-25,2200-01-01
3087,S.CN.SZSE.002056,002056,横店东磁,2006-08-02,2200-01-01,STOCK,,,,2006-08-02,2200-01-01
3088,S.CN.SZSE.002057,002057,中钢天源,2006-08-02,2200-01-01,STOCK,,,,2006-08-02,2200-01-01
3090,S.CN.SZSE.002059,002059,云南旅游,2006-08-10,2200-01-01,STOCK,,,,2006-08-10,2200-01-01
3091,S.CN.SZSE.002060,002060,粤水电,2006-08-10,2200-01-01,STOCK,,,,2006-08-10,2200-01-01
